age_AD   trsgi.0mean
1200   -.952351
1201   1.01578
1202   1.8619
1203   .3205
1204   2.43946
1205   -1.151
1206   .967963
1207   3.02439
1208   .978998
1209   -1.84629
1210   -.429967
1211   -3.12282
1212   -1.69914
1213   .294749
1214   .298428
1215   1.79936
1216   -.264422
1217   1.8104
1218   3.2488
1219   -.396858
1220   2.33279
1221   1.76257
1222   1.9833
1223   2.42107
1224   2.06791
1225   -2.96831
1226   -1.81318
1227   3.46216
1228   2.16724
1229   -2.60411
1230   -2.96463
1231   -1.44163
1232   -3.54588
1233   -2.81749
1234   .0225207
1235   -1.50416
1236   .423505
1237   -1.33863
1238   2.83678
1239   -2.36499
1240   -.0694484
1241   -.558724
1242   -3.57531
1243   2.07895
1244   -.00690941
1245   -.588154
1246   -3.46494
1247   -1.64764
1248   -.56976
1249   2.40636
1250   -1.08847
1251   -.135666
1252   2.14149
1253   2.11573
1254   2.16356
1255   1.47196
1256   .515475
1257   2.57191
1258   1.90973
1259   -2.1222
1260   .76931
1261   -1.93458
1262   -.485148
1263   -.0841634
1264   -1.49681
1265   -.0620909
1266   .596408
1267   -2.32453
1268   .427185
1269   -3.18536
1270   2.75217
1271   3.53206
1272   -.179811
1273   .743558
1274   -2.62986
1275   1.85087
1276   1.26594
1277   1.29169
1278   1.3248
1279   .132883
1280   1.2733
1281   2.01641
1282   2.43579
1283   -1.37909
1284   .3205
1285   -2.0008
1286   1.35792
1287   1.22547
1288   2.24081
1289   .890709
1290   1.50506
1291   .820812
1292   -.470434
1293   .228531
1294   1.01211
1295   .191744
1296   1.01211
1297   .327858
1298   .684698
1299   .000448116
1300   -.499863
1301   .17335
1302   -.74634
1303   -.0510546
1304   -.301211
1305   -1.74697
1306   -1.43059
1307   -1.13997
1308   -1.47106
1309   -1.47473
1310   -1.10318
1311   -.15406
1312   .118169
1313   .879672
1314   .784024
1315   -.602869
1316   -.143023
1317   .592728
1318   .048272
1319   -.00690941
1320   -.194526
1321   -.849346
1322   .475008
1323   2.53144
1324   3.36284
1325   2.55719
1326   1.41677
1327   .287392
1328   1.02315
1329   1.0305
1330   .791382
1331   1.85822
1332   .883351
1333   1.37998
1334   3.87051
1335   3.11268
1336   -1.4637
1337   -.485148
1338   -1.55199
1339   .34993
1340   -2.15899
1341   -1.98609
1342   -.382143
1343   -1.94193
1344   -.621263
1345   -1.71754
1346   -1.11053
1347   -1.11053
1348   -2.54525
1349   -1.10318
1350   -1.59981
1351   -1.18043
1352   -2.5379
1353   -1.50785
1354   -2.55262
1355   .850242
1356   1.53081
1357   -1.78375
1358   -.396858
1359   .114489
1360   .625838
1361   .88703
1362   .162313
1363   -.043697
1364   1.13351
1365   1.082
1366   .625838
1367   .0850597
1368   -.441004
1369   -.532972
1370   -.525615
1371   -1.19883
1372   -1.83158
1373   -.735304
1374   .136562
1375   -.944994
1376   -.83831
1377   -.400537
1378   .728843
1379   1.43149
1380   .91646
1381   1.00843
1382   .839206
1383   -.113594
1384   -.433646
1385   1.06361
1386   2.26657
1387   1.13351
1388   .875993
1389   1.72947
1390   1.51242
1391   -.672765
1392   .813455
1393   .0225207
1394   -.271781
1395   .478688
1396   1.26227
1397   1.37631
1398   .673662
1399   .94589
1400   .533869
1401   1.59704
1402   2.47626
1403   -.98546
1404   -.367429
1405   -.724268
1406   -.36007
1407   .817134
1408   .824491
1409   -.257065
1410   -.635978
1411   -.043697
1412   -.786807
1413   .309465
1414   -.0510546
1415   -.591833
1416   -.952351
1417   -.617584
1418   -.356392
1419   -1.30551
1420   -.385822
1421   -1.49313
1422   -1.39012
1423   -1.28344
1424   -.18349
1425   -.0841634
1426   -.0951997
1427   -.275459
1428   .140242
1429   .460294
1430   .452936
1431   .254282
1432   .614801
1433   -.0216245
1434   .390397
1435   .629517
1436   -.0620909
1437   .294749
1438   .784024
1439   .669983
1440   -.091521
1441   -.371107
1442   -.00323064
1443   .515475
1444   .91646
1445   .423505
1446   .180707
1447   -.315925
1448   .191744
1449   .199101
1450   -.216599
1451   .243247
1452   .335216
1453   -1.58142
1454   -.124629
1455   -.525615
1456   -.0731271
1457   -1.02592
1458   .114489
1459   -1.16572
1460   -.411573
1461   -1.54463
1462   -.448361
1463   -1.32022
1464   -.444682
1465   -1.63293
1466   -.647014
1467   -1.10686
1468   -1.03328
1469   -1.29816
1470   -.312246
1471   -.922922
1472   -.209241
1473   -.915563
1474   .368324
1475   -.555045
1476   -.356392
1477   -.5109
1478   .603765
1479   -.989139
1480   -.566081
1481   -.959709
1482   -.433646
1483   -.371107
1484   -1.20618
1485   .0188419
1486   .875993
1487   .0960962
1488   -.165096
1489   -.312246
1490   -.400537
1491   .338894
1492   1.64118
1493   -.257065
1494   .728843
1495   .94589
1496   .327858
1497   -.573439
1498   .784024
1499   .0703447
1500   .644232
1501   .14392
1502   .125526
1503   -.591833
1504   .622159
1505   .666304
1506   1.00475
1507   .17335
1508   .942211
1509   1.4462
1510   .997393
1511   .765631
1512   1.04154
1513   1.4462
1514   .846564
1515   1.04521
1516   1.36894
1517   -.783128
1518   1.51978
1519   -.507221
1520   1.792
1521   .714128
1522   1.71843
1523   1.2733
1524   2.18563
1525   1.35423
1526   -.172453
1527   .489723
1528   .195423
1529   -.21292
1530   .949569
1531   .305785
1532   .441899
1533   -.429967
1534   .50076
1535   .449257
1536   .58905
1537   .456615
1538   .430864
1539   -.0620909
