age_AD	d2HiceVSMOW	d2HiceVSMOW11
2007.5	-159.87	-148.25
2006.5	-135.49	-146.50
2005.5	-147.52	-145.99
2004.5	-144.86	-145.04
2003.5	-148.70	-144.78
2002.5	-153.08	-144.80
2001.5	-135.98	-143.36
2000.5	-142.43	-143.79
1999.5	-137.44	-142.86
1998.5	-142.45	-142.64
1997.5	-144.96	-141.99
1996.5	-144.04	-141.05
1995.5	-140.25	-142.86
1994.5	-137.34	-141.43
1993.5	-142.37	-142.90
1992.5	-141.54	-143.35
1991.5	-142.81	-144.98
1990.5	-155.86	-144.43
1989.5	-126.69	-145.15
1988.5	-153.59	-145.55
1987.5	-147.43	-146.36
1986.5	-162.88	-146.48
1985.5	-138.00	-148.23
1984.5	-148.18	-147.66
1983.5	-141.73	-149.36
1982.5	-151.24	-149.15
1981.5	-142.92	-147.85
1980.5	-161.97	-147.10
1979.5	-149.58	-147.58
1978.5	-145.50	-146.33
1977.5	-151.25	-147.22
1976.5	-133.08	-146.30
1975.5	-154.68	-147.55
1974.5	-143.23	-145.89
1973.5	-134.47	-146.96
1972.5	-151.44	-147.65
1971.5	-141.20	-147.27
1970.5	-156.60	-149.09
1969.5	-143.74	-148.78
1968.5	-161.35	-149.15
1967.5	-153.08	-150.69
1966.5	-147.14	-150.50
1965.5	-153.06	-151.86
1964.5	-151.22	-151.68
1963.5	-147.31	-153.12
1962.5	-151.50	-151.94
1961.5	-149.33	-150.85
1960.5	-156.18	-150.28
1959.5	-154.57	-149.10
1958.5	-159.58	-149.45
1957.5	-148.36	-149.09
1956.5	-141.14	-149.99
1955.5	-140.85	-148.66
1954.5	-140.06	-148.91
1953.5	-155.14	-149.84
1952.5	-143.35	-150.05
1951.5	-161.39	-149.93
1950.5	-134.69	-150.95
1949.5	-158.95	-152.03
1948.5	-164.76	-152.59
1947.5	-161.87	-151.02
1946.5	-146.99	-152.13
1945.5	-152.45	-152.33
1944.5	-152.70	-154.51
1943.5	-146.22	-154.61
1942.5	-137.82	-153.40
1941.5	-155.57	-151.50
1940.5	-163.59	-150.14
1939.5	-158.70	-149.57
1938.5	-160.01	-148.92
1937.5	-151.48	-149.92
1936.5	-140.98	-151.11
1935.5	-132.06	-150.68
1934.5	-146.16	-150.65
1933.5	-145.53	-149.44
1932.5	-157.20	-149.85
1931.5	-150.89	-150.86
1930.5	-150.86	-152.47
1929.5	-163.27	-153.74
1928.5	-145.41	-154.53
1927.5	-164.54	-155.97
1926.5	-162.60	-155.13
1925.5	-158.63	-155.24
1924.5	-146.03	-155.46
1923.5	-154.86	-154.62
1922.5	-161.44	-155.76
1921.5	-147.93	-154.38
1920.5	-152.10	-152.73
1919.5	-153.28	-152.14
1918.5	-154.02	-151.84
1917.5	-157.96	-152.04
1916.5	-149.37	-151.87
1915.5	-144.45	-151.83
1914.5	-152.09	-150.85
1913.5	-142.69	-150.34
1912.5	-157.07	-150.21
1911.5	-159.65	-150.08
1910.5	-147.42	-150.56
1909.5	-141.38	-150.34
1908.5	-147.66	-150.54
1907.5	-152.62	-150.19
1906.5	-156.49	-150.68
1905.5	-154.61	-150.21
1904.5	-142.05	-151.78
1903.5	-154.32	-152.13
1902.5	-138.87	-151.55
1901.5	-162.44	-151.83
1900.5	-154.47	-151.31
1899.5	-164.70	-150.73
1898.5	-145.23	-150.05
1897.5	-141.25	-149.16
1896.5	-155.73	-148.97
1895.5	-150.76	-146.49
1894.5	-148.19	-145.04
1893.5	-134.62	-142.86
1892.5	-144.45	-142.83
1891.5	-136.79	-143.36
1890.5	-135.21	-142.39
1889.5	-138.52	-142.19
1888.5	-140.71	-142.65
1887.5	-144.84	-144.45
1886.5	-147.15	-145.87
1885.5	-145.06	-146.26
1884.5	-148.60	-147.75
1883.5	-153.25	-149.53
1882.5	-154.35	-151.04
1881.5	-160.06	-151.08
1880.5	-141.11	-150.85
1879.5	-151.56	-150.66
1878.5	-158.19	-152.11
1877.5	-157.25	-150.70
1876.5	-145.28	-151.08
1875.5	-144.61	-149.73
1874.5	-143.01	-149.56
1873.5	-164.51	-149.20
1872.5	-137.83	-149.55
1871.5	-158.51	-149.44
1870.5	-145.23	-150.57
1869.5	-139.16	-151.16
1868.5	-147.62	-151.94
1867.5	-162.09	-150.07
1866.5	-156.05	-149.94
1865.5	-157.63	-148.77
1864.5	NaN	-148.87
1863.5	-150.79	-150.45
1862.5	-145.76	-150.01
1861.5	-136.56	-148.37
1860.5	-146.81	-146.08
1859.5	-146.29	-144.82
1858.5	-154.94	-145.80
1857.5	-143.16	-145.66
1856.5	-145.73	-145.57
1855.5	-133.12	-146.92
1854.5	-145.03	-147.23
1853.5	-155.59	-147.90
1852.5	-149.23	-147.37
1851.5	-144.86	-148.46
1850.5	-151.41	-149.88
1849.5	-150.22	-152.91
1848.5	-153.64	-152.95
1847.5	-149.02	-153.50
1846.5	-155.22	-151.95
1845.5	-161.36	-152.26
1844.5	-166.45	-152.39
1843.5	-145.46	-152.31
1842.5	-161.63	-150.77
1841.5	-132.20	-149.94
1840.5	-148.25	-148.92
1839.5	-152.79	-147.88
1838.5	-149.41	-145.91
1837.5	-136.70	-145.89
1836.5	-139.86	-145.39
1835.5	-144.02	-145.84
1834.5	-149.88	-145.62
1833.5	-144.85	-145.26
1832.5	-145.22	-146.29
1831.5	-156.12	-147.75
1830.5	-137.19	-148.52
1829.5	-145.79	-148.69
1828.5	-148.78	-149.20
1827.5	-160.78	-149.22
1826.5	-152.73	-149.51
1825.5	-148.39	-147.52
1824.5	-145.90	-147.66
1823.5	-155.41	-146.98
1822.5	-145.10	-146.95
1821.5	-148.43	-146.72
1820.5	-134.22	-147.05
1819.5	-138.74	-146.26
1818.5	-138.28	-146.44
1817.5	-148.51	-145.39
1816.5	-158.20	-145.69
1815.5	-156.41	-146.17
1814.5	-139.61	-147.49
1813.5	-147.94	-148.09
1812.5	-143.84	-148.70
1811.5	-148.39	-148.80
1810.5	-153.69	-148.19
1809.5	-148.79	-148.84
1808.5	-145.34	-149.51
1807.5	-144.99	-149.17
1806.5		-149.84
1805.5		-149.35
1804.5		-149.32
1803.5		-149.18
1802.5		-150.21
1801.5		-151.95
1800.5		-150.77
1799.5		-150.27
1798.5		-148.35
1797.5		-147.82
1796.5		-149.72
1795.5		-149.47
1794.5		-150.08
1793.5		-149.22
1792.5		-149.21
1791.5		-148.93
1790.5		-147.04
1789.5		-148.37
1788.5		-148.30
1787.5		-149.03
1786.5		-150.58
1785.5		-148.54
1784.5		-148.34
1783.5		-147.99
1782.5		-148.79
1781.5		-149.19
1780.5		-148.66
1779.5		-149.22
1778.5		-148.40
1777.5		-147.28
1776.5		-146.76
1775.5		-145.37
1774.5		-145.95
1773.5		-145.92
1772.5		-146.81
1771.5		-145.76
1770.5		-143.80
1769.5		-143.81
1768.5		-141.95
1767.5		-141.67
1766.5		-142.55
1765.5		-143.31
1764.5		-146.64
1763.5		-146.97
1762.5		-146.97
1761.5		-146.25
1760.5		-147.45
1759.5		-147.44
1758.5		-145.24
1757.5		-147.80
1756.5		-149.85
1755.5		-150.36
1754.5		-150.21
1753.5		-146.68
1752.5		-146.16
1751.5		-147.52
1750.5		-146.79
1749.5		-146.12
1748.5		-147.16
1747.5		-149.78
1746.5		-149.36
1745.5		-148.25
1744.5		-149.09
1743.5		-148.00
1742.5		-148.58
1741.5		-149.03
1740.5		-147.56
1739.5		-148.63
1738.5		-148.95
1737.5		-150.22
1736.5		-149.60
1735.5		-149.32
1734.5		-150.86
1733.5		-150.68
1732.5		-150.87
1731.5		-150.54
1730.5		-150.74
1729.5		-152.35
1728.5		-152.51
1727.5		-151.64
1726.5		-150.95
1725.5		-152.25
1724.5		-153.49
1723.5		-151.31
1722.5		-150.57
1721.5		-151.37
1720.5		-151.38
1719.5		-149.96
1718.5		-149.40
1717.5		-149.56
1716.5		-150.77
1715.5		-151.80
1714.5		-151.53
1713.5		-149.28
1712.5		-150.43
1711.5		-150.84
1710.5		-151.08
1709.5		-151.72
1708.5		-152.75
1707.5		-151.16
1706.5		-149.86
1705.5		-148.86
1704.5		-147.88
1703.5		-147.54
1702.5		-148.16
1701.5		-147.78
1700.5		-147.58
1699.5		-147.94
1698.5		-149.31
1697.5		-150.08
1696.5		-151.84
1695.5		-152.81
1694.5		-153.24
1693.5		-155.19
1692.5		-155.99
1691.5		-156.80
1690.5		-157.22
1689.5		-157.08
1688.5		-157.53
1687.5		-156.24
1686.5		-155.98
1685.5		-157.09
1684.5		-156.07
1683.5		-156.55
1682.5		-154.36
1681.5		-153.10
1680.5		-152.29
1679.5		-150.97
1678.5		-151.71
1677.5		-150.71
1676.5		-148.97
1675.5		-147.14
1674.5		-145.47
1673.5		-146.78
1672.5		-145.90
1671.5		-146.09
1670.5		-146.14
1669.5		-146.96
1668.5		-147.49
1667.5		-146.41
1666.5		-146.17
1665.5		-147.58
1664.5		-148.60
1663.5		-148.83
1662.5		-147.53
1661.5		-148.67
1660.5		-149.05
1659.5		-149.92
1658.5		-150.91
1657.5		-151.29
1656.5		-150.61
1655.5		-153.13
1654.5		-153.79
1653.5		-154.23
1652.5		-153.47
1651.5		-153.51
1650.5		-153.95
1649.5		-153.57
1648.5		-153.73
1647.5		-153.94
1646.5		-153.99
1645.5		-156.82
1644.5		-154.16
1643.5		-153.95
1642.5		-154.01
1641.5		-153.48
1640.5		-155.08
1639.5		-153.57
1638.5		-154.96
1637.5		-153.33
1636.5		-150.79
1635.5		-149.77
1634.5		-146.57
1633.5		-147.53
1632.5		-147.52
1631.5		-148.01
1630.5		-149.12
1629.5		-148.76
1628.5		-148.55
1627.5		-147.06
1626.5		-145.36
1625.5		-146.08
1624.5		-147.12
1623.5		-148.13
1622.5		-146.61
1621.5		-145.26
1620.5		-145.38
1619.5		-144.48
1618.5		-144.75
1617.5		-144.73
1616.5		-145.17
1615.5		-147.76
1614.5		-148.49
1613.5		-148.85
1612.5		-148.96
1611.5		-150.86
1610.5		-151.71
1609.5		-150.95
1608.5		-150.73
1607.5		-150.32
1606.5		-150.04
1605.5		-149.09
1604.5		-148.11
1603.5		-146.52
1602.5		-145.90
1601.5		-146.55
1600.5		-145.72
1599.5		-144.92
1598.5		-143.42
1597.5		-142.03
1596.5		-141.16
1595.5		-142.79
1594.5		-144.60
1593.5		-145.19
1592.5		-146.00
1591.5		-147.02
1590.5		-148.62
1589.5		-149.02
1588.5		-149.57
1587.5		-152.26
1586.5		-156.79
1585.5		-157.31
1584.5		-157.26
1583.5		-158.10
1582.5		-159.68
1581.5		-159.45
1580.5		-159.05
1579.5		-157.26
1578.5		-155.43
1577.5		-154.76
1576.5		-154.05
1575.5		-151.24
1574.5		-152.45
1573.5		-152.42
1572.5		-150.16
1571.5		-147.12
1570.5		-146.44
1569.5		-144.96
1568.5		-145.17
1567.5		-145.57
1566.5		-146.60
1565.5		-146.86
1564.5		-149.05
1563.5		-150.03
1562.5		-150.07
1561.5		-151.07
1560.5		-152.55
1559.5		-153.35
1558.5		-156.01
1557.5		-158.02
1556.5		-159.67
1555.5		-159.55
1554.5		-158.28
1553.5		-156.53
1552.5		-154.75
1551.5		-154.53
1550.5		-153.80
1549.5		-155.45
1548.5		-156.20
1547.5		-154.55
1546.5		-153.17
1545.5		-152.72
1544.5		-153.40
1543.5		-153.68
1542.5		-153.64
1541.5		-153.69
1540.5		-152.48
1539.5		-152.91
1538.5		-150.61
1537.5		-149.78
1536.5		-150.60
1535.5		-150.46
1534.5		-150.68
1533.5		-151.49
1532.5		-152.42
1531.5		-152.98
1530.5		-152.71
1529.5		-152.91
1528.5		-152.93
1527.5		-153.31
1526.5		-153.53
1525.5		-152.91
1524.5		-152.62
1523.5		-153.25
1522.5		-154.54
1521.5		-153.82
1520.5		-152.79
1519.5		-152.94
1518.5		-154.04
1517.5		-154.47
1516.5		-156.19
1515.5		-155.93
1514.5		-155.53
1513.5		-154.99
1512.5		-152.65
1511.5		-149.88
1510.5		-150.88
1509.5		-151.26
1508.5		-150.35
1507.5		-148.93
1506.5		-149.14
1505.5		-149.27
1504.5		-150.88
1503.5		-151.76
1502.5		-151.42
1501.5		-153.56
1500.5		-154.00
1499.5		-153.94
1498.5		-153.50
1497.5		-154.58
1496.5		-155.56
1495.5		-154.90
1494.5		-154.08
1493.5		-152.50
1492.5		-150.83
1491.5		-150.42
1490.5		-149.47
1489.5		-149.17
1488.5		-148.78
