Year	TRW_Index
969	0.575
970	1.094
971	0.819
972	0.813
973	0.752
974	1.089
975	0.617
976	0.889
977	1.312
978	1.206
979	1.089
980	0.991
981	1.253
982	1.411
983	1.156
984	1.233
985	1.056
986	1.385
987	1.347
988	1.04
989	0.912
990	0.875
991	0.813
992	0.895
993	0.857
994	0.453
995	0.406
996	0.735
997	0.595
998	0.572
999	0.328
1000	0.477
1001	0.489
1002	0.542
1003	0.586
1004	0.451
1005	0.899
1006	0.594
1007	0.328
1008	1.009
1009	0.659
1010	0.64
1011	0.486
1012	0.516
1013	0.725
1014	0.399
1015	0.649
1016	0.467
1017	0.471
1018	0.924
1019	0.475
1020	0.406
1021	0.348
1022	0.483
1023	0.421
1024	0.32
1025	0.447
1026	0.431
1027	0.419
1028	0.41
1029	0.108
1030	0.308
1031	0.294
1032	0.322
1033	0.6
1034	0.322
1035	0.327
1036	0.211
1037	0.103
1038	0.506
1039	0.503
1040	0.506
1041	0.48
1042	0.433
1043	0.348
1044	0.46
1045	0.125
1046	0.38
1047	0.614
1048	0.558
1049	0.609
1050	0.773
1051	0.467
1052	0.548
1053	0.764
1054	0.184
1055	0.334
1056	0.301
1057	0.356
1058	0.422
1059	0.573
1060	0.726
1061	0.612
1062	0.588
1063	0.514
1064	0.746
1065	0.669
1066	0.565
1067	0.783
1068	0.692
1069	0.833
1070	0.938
1071	0.698
1072	0.729
1073	0.77
1074	0.712
1075	0.771
1076	0.654
1077	0.665
1078	0.848
1079	0.353
1080	0.336
1081	0.406
1082	0.386
1083	0.625
1084	0.646
1085	0.657
1086	0.471
1087	0.702
1088	0.592
1089	0.68
1090	0.622
1091	0.644
1092	0.666
1093	0.754
1094	0.873
1095	0.548
1096	0.506
1097	0.519
1098	0.438
1099	0.522
1100	0.439
1101	0.382
1102	0.463
1103	0.389
1104	0.317
1105	0.553
1106	0.423
1107	0.136
1108	0.348
1109	0.323
1110	0.428
1111	0.404
1112	0.398
1113	0.511
1114	0.368
1115	0.535
1116	0.53
1117	0.43
1118	0.483
1119	0.474
1120	0.59
1121	0.463
1122	0.384
1123	0.686
1124	0.642
1125	0.208
1126	0.298
1127	0.35
1128	0.341
1129	0.207
1130	0.387
1131	0.501
1132	0.399
1133	0.515
1134	0.494
1135	0.525
1136	0.455
1137	0.552
1138	0.563
1139	0.884
1140	0.699
1141	0.637
1142	0.667
1143	0.704
1144	0.545
1145	0.651
1146	0.682
1147	0.498
1148	0.714
1149	0.776
1150	0.83
1151	0.547
1152	0.419
1153	0.586
1154	0.788
1155	0.956
1156	0.909
1157	1.045
1158	0.835
1159	0.96
1160	0.903
1161	0.608
1162	0.714
1163	0.853
1164	1.173
1165	1.165
1166	1.03
1167	0.959
1168	0.911
1169	0.749
1170	0.981
1171	0.432
1172	0.685
1173	0.87
1174	0.69
1175	0.983
1176	0.97
1177	0.695
1178	0.566
1179	0.666
1180	0.288
1181	0.488
1182	0.697
1183	0.776
1184	0.706
1185	1.012
1186	0.872
1187	0.783
1188	0.907
1189	0.811
1190	0.593
1191	1.01
1192	1.079
1193	0.861
1194	1.056
1195	1.188
1196	0.897
1197	0.742
1198	1.118
1199	1.393
1200	0.765
1201	0.941
1202	0.754
1203	0.937
1204	0.958
1205	1.002
1206	0.899
1207	0.888
1208	0.989
1209	0.839
1210	1.222
1211	0.909
1212	1.019
1213	1.065
1214	1.102
1215	0.72
1216	0.637
1217	1.02
1218	0.78
1219	0.952
1220	0.987
1221	1.129
1222	1.139
1223	0.885
1224	0.94
1225	1.129
1226	1.336
1227	1.188
1228	1.153
1229	1.168
1230	1.007
1231	0.782
1232	0.946
1233	0.921
1234	0.87
1235	0.883
1236	0.834
1237	0.975
1238	0.938
1239	0.973
1240	0.925
1241	1.03
1242	0.968
1243	1.121
1244	0.986
1245	0.949
1246	1.141
1247	1.111
1248	0.6
1249	0.618
1250	0.76
1251	0.813
1252	0.775
1253	0.859
1254	0.653
1255	0.806
1256	0.84
1257	0.813
1258	0.614
1259	0.544
1260	1.015
1261	1.172
1262	1.201
1263	1.084
1264	0.846
1265	1.236
1266	0.966
1267	0.661
1268	0.684
1269	0.837
1270	0.999
1271	0.939
1272	0.908
1273	0.962
1274	1.075
1275	0.955
1276	0.842
1277	0.722
1278	0.791
1279	0.999
1280	0.859
1281	0.922
1282	1.031
1283	0.725
1284	0.96
1285	1.005
1286	0.909
