Year Temp
1850.0 -0.373
1851.0 -0.218
1852.0 -0.228
1853.0 -0.269
1854.0 -0.248
1855.0 -0.272
1856.0 -0.358
1857.0 -0.461
1858.0 -0.467
1859.0 -0.284
1860.0 -0.343
1861.0 -0.407
1862.0 -0.524
1863.0 -0.278
1864.0 -0.494
1865.0 -0.279
1866.0 -0.251
1867.0 -0.321
1868.0 -0.238
1869.0 -0.262
1870.0 -0.276
1871.0 -0.335
1872.0 -0.227
1873.0 -0.304
1874.0 -0.368
1875.0 -0.395
1876.0 -0.384
1877.0 -0.075
1878.0 0.035
1879.0 -0.23
1880.0 -0.227
1881.0 -0.2
1882.0 -0.213
1883.0 -0.296
1884.0 -0.409
1885.0 -0.389
1886.0 -0.367
1887.0 -0.418
1888.0 -0.307
1889.0 -0.171
1890.0 -0.416
1891.0 -0.33
1892.0 -0.455
1893.0 -0.473
1894.0 -0.41
1895.0 -0.39
1896.0 -0.186
1897.0 -0.206
1898.0 -0.412
1899.0 -0.289
1900.0 -0.203
1901.0 -0.259
1902.0 -0.402
1903.0 -0.479
1904.0 -0.52
1905.0 -0.377
1906.0 -0.283
1907.0 -0.465
1908.0 -0.511
1909.0 -0.522
1910.0 -0.49
1911.0 -0.544
1912.0 -0.437
1913.0 -0.424
1914.0 -0.244
1915.0 -0.141
1916.0 -0.383
1917.0 -0.468
1918.0 -0.333
1919.0 -0.275
1920.0 -0.247
1921.0 -0.187
1922.0 -0.302
1923.0 -0.276
1924.0 -0.294
1925.0 -0.215
1926.0 -0.108
1927.0 -0.21
1928.0 -0.206
1929.0 -0.35
1930.0 -0.137
1931.0 -0.087
1932.0 -0.137
1933.0 -0.273
1934.0 -0.131
1935.0 -0.178
1936.0 -0.147
1937.0 -0.026
1938.0 -0.006
1939.0 -0.052
1940.0 0.014
1941.0 0.02
1942.0 -0.027
1943.0 -0.004
1944.0 0.144
1945.0 0.025
1946.0 -0.071
1947.0 -0.038
1948.0 -0.039
1949.0 -0.074
1950.0 -0.173
1951.0 -0.052
1952.0 0.028
1953.0 0.097
1954.0 -0.129
1955.0 -0.19
1956.0 -0.267
1957.0 -0.007
1958.0 0.046
1959.0 0.017
1960.0 -0.049
1961.0 0.038
1962.0 0.014
1963.0 0.048
1964.0 -0.223
1965.0 -0.14
1966.0 -0.068
1967.0 -0.074
1968.0 -0.113
1969.0 0.032
1970.0 -0.027
1971.0 -0.186
1972.0 -0.065
1973.0 0.062
1974.0 -0.214
1975.0 -0.149
1976.0 -0.241
1977.0 0.047
1978.0 -0.062
1979.0 0.057
1980.0 0.092
1981.0 0.14
1982.0 0.011
1983.0 0.194
1984.0 -0.014
1985.0 -0.03
1986.0 0.045
1987.0 0.192
1988.0 0.198
1989.0 0.118
1990.0 0.296
1991.0 0.254
1992.0 0.105
1993.0 0.148
1994.0 0.208
1995.0 0.325
1996.0 0.183
1997.0 0.39
1998.0 0.539
1999.0 0.306
2000.0 0.294
2001.0 0.441
2002.0 0.496
2003.0 0.505
2004.0 0.447
2005.0 0.545
2006.0 0.506
2007.0 0.491
2008.0 0.395
2009.0 0.506
2010.0 0.56
2011.0 0.425
2012.0 0.47
2013.0 0.514
2014.0 0.579
2015.0 0.763
2016.0 0.797
2017.0 0.677
2018.0 0.597
2019.0 0.736
